id	Kanji	Strokes	Grade	Kanji_Classification	JLPT-test	Name_of_Radical	Radical_Freq	#_of_On	#_of_Meanings_of_On	#_of_Meanings_of_Kun	Year_of_Inclusion	Kanji_Frequency_with_Proper_Nouns	Kanji_Frequency_without_Proper_Nouns	Symmetry
1242	僧	13	7	形声_Phonetic	1	Hito_Ninben_Hitoyane	104	1	2	0	1981	3804	3781	S
1243	想	13	3	形声_Phonetic	3	Kokoro_Risshinben_Shitagokoro	76	2	3	0	1981	110218	110205	P
1244	層	14	6	形声_Phonetic	2	Shikabane	15	1	9	0	1981	45107	45081	P
1245	総	14	5	形声_Phonetic	2	Ito_Itohen	63	1	6	0	1981	256508	243446	R
1246	遭	14	7	形声_Phonetic	1	Shinnyoo	51	1	2	2	1981	7168	7168	
1247	槽	15	7	形声_Phonetic	1	Ki_Kihen	85	1	3	0	1981	2452	2452	
1248	踪	15	7	形声_Phonetic	0	Ashi_Ashihen	11	1	3	0	2010	661	661	
1249	操	16	6	形声_Phonetic	1	Tehen	89	1	4	9	1981	21705	21377	S
1250	燥	17	7	形声_Phonetic	2	Hi_Hihen_Renga	26	1	1	0	1981	3865	3865	
1251	霜	17	7	形声_Phonetic	1	Ame_Amekanmuri	13	1	1	1	1981	1830	1029	S
1252	騒	18	7	形声_Phonetic	1	Uma_Umahen	11	1	11	11	1981	16066	16065	S
1253	藻	19	7	形声_Phonetic	1	Kusakanmuri	47	1	2	2	1981	1239	1166	S
1254	造	10	5	会意_Com_Ideographic	2	Shinnyoo	51	1	17	17	1981	103483	100149	S
1255	像	14	5	形声_Phonetic	2	Hito_Ninben_Hitoyane	104	1	5	0	1981	50722	49930	P
1256	増	14	5	形声_Phonetic	3	Tsuchi_Tsuchihen	50	1	1	7	1981	202667	194787	R
1257	憎	14	7	形声_Phonetic	2	Kokoro_Risshinben_Shitagokoro	76	1	2	9	1981	3933	3933	
1258	蔵	15	6	形声_Phonetic	2	Kusakanmuri	47	1	8	8	1981	43152	19730	P
1259	贈	18	7	形声_Phonetic	2	Kai_Kaihen	35	2	1	4	1981	19813	19813	S
1260	臓	19	6	形声_Phonetic	2	Niku_Nikuzuki	44	1	2	0	1981	20504	20494	S
1261	即	7	7	会意_Com_Ideographic	1	Fushizukuri_Warifu	6	1	2	0	1981	13182	13182	R
1262	束	7	4	象形_Pictographic	3	Ki_Kihen	85	1	3	4	1981	35694	35325	P
1263	足	7	1	象形_Pictographic	4	Ashi_Ashihen	11	1	3	32	1981	134406	123380	P
1264	促	9	7	形声_Phonetic	1	Hito_Ninben_Hitoyane	104	1	7	7	1981	24588	24588	S
1265	則	9	5	会意_Com_Ideographic	2	Katana_Rittoo	32	1	6	0	1981	42023	33941	P
1266	息	10	3	会意_Com_Ideographic	3	Kokoro_Risshinben_Shitagokoro	76	1	2	2	1981	41044	41036	P
1267	捉	10	7	形声_Phonetic	0	Tehen	89	1	3	3	2010	1242	737	
1268	速	10	3	形声_Phonetic	3	Shinnyoo	51	1	3	8	1981	88472	85564	S
1269	側	11	4	形声_Phonetic	3	Hito_Ninben_Hitoyane	104	1	4	3	1981	155653	155635	P
1270	測	12	5	形声_Phonetic	2	Mizu_Sanzui_Shitamizu	118	1	7	7	1981	40780	40737	S
1271	俗	9	7	形声_Phonetic	1	Hito_Ninben_Hitoyane	104	1	7	0	1981	5701	5694	S
1272	族	11	3	会意_Com_Ideographic	4	Hoo_Hoohen	6	1	5	0	1981	109908	109595	P
1273	属	12	5	会意_Com_Ideographic	1	Shikabane	15	1	2	0	1981	44814	42419	S
1274	賊	13	7	会意_Com_Ideographic	1	Kai_Kaihen	35	1	3	0	1981	3456	3456	P
1275	続	13	4	形声_Phonetic	3	Ito_Itohen	63	1	2	2	1981	331308	330249	S
1276	卒	8	4	象形_Pictographic	2	Juu	11	1	3	0	1981	36091	36091	S
1277	率	11	5	象形_Pictographic	1	Gen	2	2	7	3	1981	142430	142430	P
1278	存	6	6	会意_Com_Ideographic	3	Ko_Kohen	9	2	6	0	1981	73361	73187	S
1279	村	7	1	形声_Phonetic	2	Ki_Kihen	85	1	2	2	1981	248650	68884	S
1280	孫	10	4	会意_Com_Ideographic	2	Ko_Kohen	9	1	1	1	1981	16008	14683	S
1281	尊	12	6	会意_Com_Ideographic	2	Sun	12	1	6	12	1981	14935	13921	R
1282	損	13	5	会意_Com_Ideographic	2	Tehen	89	1	3	7	1981	47814	47805	S
1283	遜	14	7	形声_Phonetic	0	Shinnyoo	51	1	3	0	2010	304	304	
1284	他	5	3	形声_Phonetic	3	Hito_Ninben_Hitoyane	104	1	6	3	1981	76614	76605	R
1285	多	6	2	会意_Com_Ideographic	4	Yuube	5	1	1	5	1981	278725	258481	R
1286	汰	7	7	形声_Phonetic	1	Mizu_Sanzui_Shitamizu	118	1	2	0	2010	828	826	
1287	打	5	3	会意_Com_Ideographic	3	Tehen	89	1	1	26	1981	323451	323160	S
1288	妥	7	7	会意_Com_Ideographic	1	Onna_Onnahen	36	1	2	0	1981	9430	9430	
1289	唾	11	7	形声_Phonetic	0	Kuchi_Kuchihen	70	1	2	2	2010	349	349	
1290	堕	12	7	形声_Phonetic	1	Tsuchi_Tsuchihen	50	1	3	0	1981	747	747	
1291	惰	12	7	形声_Phonetic	1	Kokoro_Risshinben_Shitagokoro	76	1	1	0	1981	321	321	S
1292	駄	14	7	形声_Phonetic	1	Uma_Umahen	11	1	3	0	1981	10376	9554	S
1293	太	4	2	形声_Phonetic	3	Dai	16	2	3	12	1981	124854	33847	S
1294	対	7	3	会意_Com_Ideographic	3	Sun	12	2	12	0	1981	599540	597097	R
1295	体	7	2	形声_Phonetic	4	Hito_Ninben_Hitoyane	104	2	11	2	1981	440216	430860	P
1296	耐	9	7	会意_Com_Ideographic	1	Shikashite	1	1	1	8	1981	17747	17724	R
1297	待	9	3	形声_Phonetic	4	Gyooninben	19	1	1	7	1981	116127	116043	S
1298	怠	9	7	形声_Phonetic	1	Kokoro_Risshinben_Shitagokoro	76	1	2	5	1981	5155	5155	S
1299	胎	9	7	形声_Phonetic	1	Niku_Nikuzuki	44	1	2	0	1981	2890	2885	S
1300	退	9	5	会意_Com_Ideographic	3	Shinnyoo	51	1	4	11	1981	117331	117266	R
1301	帯	10	4	象形_Pictographic	2	Haba_Kinben	17	1	2	13	1981	68745	66763	P
1302	泰	10	7	会意_Com_Ideographic	1	Mizu_Sanzui_Shitamizu	118	1	5	0	1981	19099	871	S
1303	堆	11	7	形声_Phonetic	0	Tsuchi_Tsuchihen	50	1	1	0	2010	708	700	
1304	袋	11	7	形声_Phonetic	2	Koromo_Koromohen	21	1	2	3	1981	17171	11030	P
1305	逮	11	7	形声_Phonetic	1	Shinnyoo	51	1	1	0	1981	67703	67703	
1306	替	12	7	会意_Com_Ideographic	2	Hirabi	8	1	7	8	1981	44036	44020	P
1307	貸	12	5	形声_Phonetic	4	Kai_Kaihen	35	1	5	5	1981	20579	20579	R
1308	隊	12	4	会意_Com_Ideographic	1	Kozatohen	31	1	9	0	1981	83171	51823	P
1309	滞	13	7	形声_Phonetic	1	Mizu_Sanzui_Shitamizu	118	1	1	5	1981	19247	19247	S
1310	態	14	5	形声_Phonetic	1	Kokoro_Risshinben_Shitagokoro	76	1	4	0	1981	104268	104268	P
1311	戴	17	7	形声_Phonetic	0	Hokogamae_Hokozukuri	7	1	10	0	2010	726	679	
1312	大	3	1	象形_Pictographic	5	Dai	16	2	9	15	1981	1825235	1224358	R
1313	代	5	3	形声_Phonetic	4	Hito_Ninben_Hitoyane	104	2	8	22	1981	549569	504830	P
1314	台	5	2	会意_Com_Ideographic	4	Kuchi_Kuchihen	70	2	11	0	1981	193902	126169	S
1315	第	11	3	形声_Phonetic	1	Take_Takekanmuri	24	1	2	0	1981	354870	351478	
1316	題	18	3	形声_Phonetic	4	Oogai	22	1	8	0	1981	312442	312133	P
1317	滝	13	7	形声_Phonetic	1	Mizu_Sanzui_Shitamizu	118	0	0	3	1981	10276	2320	S
1318	宅	6	6	形声_Phonetic	3	Ukanmuri	36	1	5	0	1981	111966	103463	P
1319	択	7	7	形声_Phonetic	1	Tehen	89	1	6	0	1981	41135	40622	
1320	沢	7	7	形声_Phonetic	1	Mizu_Sanzui_Shitamizu	118	1	2	4	1981	124565	3426	S
1321	卓	8	7	象形_Pictographic	1	Juu	11	1	3	0	1981	23306	12328	S
1322	拓	8	7	形声_Phonetic	1	Tehen	89	1	3	0	1981	19248	4258	S
1323	託	10	7	形声_Phonetic	1	Gon_Gonben	68	1	2	0	1981	26692	25391	P
1324	濯	17	7	形声_Phonetic	2	Mizu_Sanzui_Shitamizu	118	1	3	0	1981	3916	3896	
1325	諾	15	7	形声_Phonetic	1	Gon_Gonben	68	1	3	0	1981	4088	4088	S
1326	濁	16	7	形声_Phonetic	1	Mizu_Sanzui_Shitamizu	118	1	9	8	1981	1754	1718	S
1327	但	7	7	形声_Phonetic	1	Hito_Ninben_Hitoyane	104	0	0	3	1981	334	28	
1328	達	12	4	形声_Phonetic	3	Shinnyoo	51	1	8	0	1981	85674	72381	P
1329	脱	11	7	形声_Phonetic	1	Niku_Nikuzuki	44	1	1	5	1981	41449	41449	R
1330	奪	14	7	会意_Com_Ideographic	1	Dai	16	1	9	3	1981	38243	38243	S
1331	棚	12	7	形声_Phonetic	1	Ki_Kihen	85	0	0	7	1981	12879	11951	S
1332	誰	15	7	形声_Phonetic	0	Gon_Gonben	68	0	0	1	2010	24845	24845	
1333	丹	4	7	象形_Pictographic	1	Ten	4	1	3	0	1981	11381	2129	S
1334	旦	5	7	象形_Pictographic	1	Nichi_Nichihen	38	1	2	0	2010	805	584	S
1335	担	8	6	形声_Phonetic	2	Tehen	89	1	2	3	1981	128180	128180	S
1336	単	9	4	象形_Pictographic	3	Tsukanmuri	4	1	5	0	1981	63753	63748	R
1337	炭	9	3	会意_Com_Ideographic	2	Hi_Hihen_Renga	26	1	2	1	1981	15363	15187	S
1338	胆	9	7	形声_Phonetic	1	Niku_Nikuzuki	44	1	2	0	1981	6103	5954	P
1339	探	11	6	形声_Phonetic	3	Tehen	89	1	6	6	1981	33925	33925	R
1340	淡	11	7	形声_Phonetic	1	Mizu_Sanzui_Shitamizu	118	1	5	5	1981	8092	6255	S
1341	短	12	3	形声_Phonetic	2	Ya_Yahen	4	1	6	2	1981	44330	43198	R
1342	嘆	13	7	形声_Phonetic	1	Kuchi_Kuchihen	70	1	1	10	1981	5929	5929	S
1343	端	14	7	形声_Phonetic	1	Tatsu	5	1	3	9	1981	34484	30321	P
1344	綻	14	7	形声_Phonetic	0	Ito_Itohen	63	1	6	6	2010	4191	4191	
1345	誕	15	6	形声_Phonetic	1	Gon_Gonben	68	1	4	0	1981	21857	21713	
1346	鍛	17	7	形声_Phonetic	1	Kane_Kanehen	33	1	5	5	1981	4813	4673	R
1347	団	6	5	形声_Phonetic	2	Kunigamae	12	2	8	0	1981	232277	215789	P
1348	男	7	1	会意_Com_Ideographic	5	Ta_Tahen	19	2	4	7	1981	268685	236012	S
1349	段	9	6	会意_Com_Ideographic	3	Rumata	6	1	15	0	1981	128815	123176	P
1350	断	11	5	会意_Com_Ideographic	3	Kin_Onozukuri	5	1	3	14	1981	149619	149595	S
1351	弾	12	7	形声_Phonetic	1	Yumi_Yumihen	11	1	1	12	1981	50880	50735	S
1352	暖	13	6	形声_Phonetic	1	Nichi_Nichihen	38	1	1	8	1981	19156	19156	R
1353	談	15	3	形声_Phonetic	3	Gon_Gonben	68	1	2	0	1981	135061	129173	P
1354	壇	16	7	形声_Phonetic	1	Tsuchi_Tsuchihen	50	2	6	0	1981	7863	7574	P
1355	地	6	2	形声_Phonetic	4	Tsuchi_Tsuchihen	50	2	22	0	1981	627071	611473	P
