id	Kanji	Strokes	Grade	Kanji_Classification	JLPT-test	Name_of_Radical	Radical_Freq	#_of_On	#_of_Meanings_of_On	#_of_Meanings_of_Kun	Year_of_Inclusion	Kanji_Frequency_with_Proper_Nouns	Kanji_Frequency_without_Proper_Nouns	Symmetry
1442	底	8	4	形声_Phonetic	2	Madare	17	1	4	5	1981	36666	36642	P
1443	抵	8	7	形声_Phonetic	1	Tehen	89	1	3	0	1981	14466	14466	S
1444	邸	8	7	形声_Phonetic	1	Oozato	12	1	2	0	1981	29212	29210	P
1445	亭	9	7	象形_Pictographic	1	Nabebuta	5	1	7	0	1981	7372	5734	
1446	貞	9	7	会意_Com_Ideographic	1	Kai_Kaihen	35	1	3	0	1981	8656	430	S
1447	帝	9	7	象形_Pictographic	1	Haba_Kinben	17	1	3	0	1981	14534	6334	S
1448	訂	9	7	形声_Phonetic	1	Gon_Gonben	68	1	2	0	1981	7111	7111	
1449	庭	10	3	形声_Phonetic	3	Madare	17	1	3	3	1981	36731	33738	S
1450	逓	10	7	形声_Phonetic	1	Shinnyoo	51	1	2	0	1981	383	225	S
1451	停	11	4	形声_Phonetic	2	Hito_Ninben_Hitoyane	104	1	1	0	1981	45060	45060	R
1452	偵	11	7	形声_Phonetic	1	Hito_Ninben_Hitoyane	104	1	1	0	1981	3586	3586	
1453	堤	12	7	形声_Phonetic	1	Tsuchi_Tsuchihen	50	1	3	3	1981	7046	2618	
1454	提	12	5	形声_Phonetic	1	Tehen	89	1	2	2	1981	174364	174186	R
1455	程	12	5	形声_Phonetic	3	Nogi_Nogihen	23	1	4	9	1981	75544	75519	P
1456	艇	13	7	形声_Phonetic	1	Fune_Funehen	8	1	1	0	1981	3883	3876	S
1457	締	15	7	形声_Phonetic	1	Ito_Itohen	63	1	9	17	1981	46310	46310	S
1458	諦	16	7	形声_Phonetic	0	Gon_Gonben	68	1	4	4	2010	417	302	
1459	泥	8	7	形声_Phonetic	2	Mizu_Sanzui_Shitamizu	118	1	2	5	1981	6089	6075	S
1460	的	8	4	形声_Phonetic	4	Shiro	5	1	5	4	1981	538548	537747	P
1461	笛	11	3	形声_Phonetic	1	Take_Takekanmuri	24	1	1	9	1981	2411	2017	P
1462	摘	14	7	形声_Phonetic	1	Tehen	89	1	4	7	1981	80949	80853	S
1463	滴	14	7	形声_Phonetic	2	Mizu_Sanzui_Shitamizu	118	1	1	3	1981	2888	2876	S
1464	適	14	5	形声_Phonetic	3	Shinnyoo	51	1	1	0	1981	62229	62229	R
1465	敵	15	5	形声_Phonetic	1	Nobun	16	1	3	3	1981	19080	19080	S
1466	溺	13	7	形声_Phonetic	0	Mizu_Sanzui_Shitamizu	118	1	2	2	2010	265	265	
1467	迭	8	7	形声_Phonetic	1	Shinnyoo	51	1	1	0	1981	3096	3096	
1468	哲	10	7	形声_Phonetic	1	Kuchi_Kuchihen	70	1	1	0	1981	27950	5107	S
1469	鉄	13	3	形声_Phonetic	2	Kane_Kanehen	33	1	4	0	1981	71624	43045	R
1470	徹	15	7	形声_Phonetic	1	Gyooninben	19	1	1	0	1981	31230	21540	S
1471	撤	15	7	形声_Phonetic	1	Tehen	89	1	6	0	1981	31171	31171	R
1472	天	4	1	象形_Pictographic	5	Dai	16	1	13	3	1981	114146	86565	R
1473	典	8	4	会意_Com_Ideographic	1	Hachi	8	1	3	0	1981	31631	23327	P
1474	店	8	2	形声_Phonetic	4	Madare	17	1	2	3	1981	135917	128589	P
1475	点	9	2	形声_Phonetic	3	Hi_Hihen_Renga	26	1	13	0	1981	364985	364938	P
1476	展	10	6	会意_Com_Ideographic	1	Shikabane	15	1	1	0	1981	127026	126306	S
1477	添	11	7	形声_Phonetic	1	Mizu_Sanzui_Shitamizu	118	1	7	13	1981	17578	13174	S
1478	転	11	3	形声_Phonetic	4	Kuruma_Kurumahen	15	1	3	6	1981	163926	163841	R
1479	填	13	7	形声_Phonetic	0	Tsuchi_Tsuchihen	50	1	5	0	2010	67	67	
1480	田	5	1	象形_Pictographic	4	Ta_Tahen	19	1	2	2	1981	678926	30445	P
1481	伝	6	4	会意_Com_Ideographic	3	Hito_Ninben_Hitoyane	104	1	6	13	1981	118726	117732	S
1482	殿	13	7	会意_Com_Ideographic	2	Rumata	6	2	5	5	1981	10458	8640	P
1483	電	13	2	会意_Com_Ideographic	5	Ame_Amekanmuri	13	1	1	0	1981	239873	201699	S
1484	斗	4	7	象形_Pictographic	1	Tomasu	3	1	4	0	1981	4728	2557	S
1485	吐	6	7	形声_Phonetic	1	Kuchi_Kuchihen	70	1	8	8	1981	5124	5061	S
1486	妬	8	7	形声_Phonetic	0	Onna_Onnahen	36	1	2	2	2010	497	497	
1487	徒	10	4	形声_Phonetic	3	Gyooninben	19	1	5	0	1981	37222	36788	S
1488	途	10	7	形声_Phonetic	3	Shinnyoo	51	1	2	0	1981	45157	45157	S
1489	都	11	3	形声_Phonetic	3	Oozato	12	2	2	2	1981	332766	267906	S
1490	渡	12	7	形声_Phonetic	3	Mizu_Sanzui_Shitamizu	118	1	9	20	1981	90347	53193	R
1491	塗	13	7	形声_Phonetic	2	Tsuchi_Tsuchihen	50	1	4	4	1981	6955	6907	S
1492	賭	16	7	形声_Phonetic	0	Kai_Kaihen	35	1	1	2	2010	3464	3464	
1493	土	3	1	象形_Pictographic	5	Tsuchi_Tsuchihen	50	2	4	3	1981	122433	96642	S
1494	奴	5	7	会意_Com_Ideographic	1	Onna_Onnahen	36	1	3	0	1981	2186	2168	S
1495	努	7	4	形声_Phonetic	3	Chikara	23	1	8	8	1981	32433	30611	
1496	度	9	3	会意_Com_Ideographic	4	Madare	17	3	11	3	1981	400271	399772	P
1497	怒	9	7	形声_Phonetic	3	Kokoro_Risshinben_Shitagokoro	76	1	3	3	1981	16120	15805	S
1498	刀	2	2	象形_Pictographic	1	Katana_Rittoo	32	1	4	2	1981	5979	5496	P
1499	冬	5	2	象形_Pictographic	4	Suinyoo	4	1	1	1	1981	26702	25386	S
1500	灯	6	4	形声_Phonetic	2	Hi_Hihen_Renga	26	1	3	1	1981	7879	7870	S
1501	当	6	2	形声_Phonetic	3	Shoo	5	1	6	46	1981	429512	428929	S
1502	投	7	3	会意_Com_Ideographic	3	Tehen	89	1	1	4	1981	259057	258997	R
1503	豆	7	3	象形_Pictographic	1	Mame	2	2	3	3	1981	13899	9823	S
1504	東	8	2	仮借_Loan	5	Ki_Kihen	85	1	1	1	1981	710300	58910	R
1505	到	8	7	会意_Com_Ideographic	3	Katana_Rittoo	32	1	8	0	1981	20432	20424	S
1506	逃	9	7	形声_Phonetic	3	Shinnyoo	51	1	6	11	1981	43360	43360	
1507	倒	10	7	形声_Phonetic	3	Hito_Ninben_Hitoyane	104	1	9	21	1981	51738	50977	S
1508	凍	10	7	形声_Phonetic	2	Nisui	6	1	3	6	1981	15654	15654	S
1509	唐	10	7	会意_Com_Ideographic	0	Kuchi_Kuchihen	70	1	6	7	1981	6605	4829	R
1510	島	10	3	会意_Com_Ideographic	2	Yama_Yamahen	16	1	1	1	1981	299065	45736	S
1511	桃	10	7	形声_Phonetic	1	Ki_Kihen	85	1	1	1	1981	4926	1627	S
1512	討	10	6	形声_Phonetic	1	Gon_Gonben	68	1	4	4	1981	84446	84446	S
1513	透	10	7	形声_Phonetic	1	Shinnyoo	51	1	2	8	1981	25672	24297	S
1514	党	10	6	形声_Phonetic	2	Shoo	5	1	4	0	1981	495041	269334	S
1515	悼	11	7	形声_Phonetic	1	Kokoro_Risshinben_Shitagokoro	76	1	1	1	1981	8033	8033	
1516	盗	11	7	会意_Com_Ideographic	3	Sara	8	1	1	3	1981	31762	31762	S
1517	陶	11	7	形声_Phonetic	1	Kozatohen	31	1	2	0	1981	4580	4094	R
1518	塔	12	7	形声_Phonetic	2	Tsuchi_Tsuchihen	50	1	5	0	1981	5605	5125	S
1519	搭	12	7	形声_Phonetic	1	Tehen	89	1	2	0	1981	7983	7983	
1520	棟	12	7	形声_Phonetic	1	Ki_Kihen	85	1	3	3	1981	10052	9847	S
1521	湯	12	3	形声_Phonetic	2	Mizu_Sanzui_Shitamizu	118	1	1	3	1981	16396	10512	S
1522	痘	12	7	形声_Phonetic	1	Yamaidare	15	1	1	0	1981	371	371	S
1523	登	12	3	会意_Com_Ideographic	3	Hatsugashira	2	2	10	10	1981	109704	100913	R
1524	答	12	2	形声_Phonetic	4	Take_Takekanmuri	24	1	1	4	1981	74725	74694	S
1525	等	12	3	形声_Phonetic	3	Take_Takekanmuri	24	1	3	4	1981	56131	54270	S
1526	筒	12	7	形声_Phonetic	2	Take_Takekanmuri	24	1	2	6	1981	5078	3518	S
1527	統	12	5	形声_Phonetic	1	Ito_Itohen	63	1	3	3	1981	240609	238742	S
1528	稲	14	7	形声_Phonetic	1	Nogi_Nogihen	23	1	1	1	1981	24911	3758	S
1529	踏	15	7	形声_Phonetic	1	Ashi_Ashihen	11	1	8	9	1981	45834	45824	S
1530	糖	16	6	形声_Phonetic	1	Kome_Komehen	10	1	1	0	1981	11070	10951	S
1531	頭	16	2	形声_Phonetic	3	Oogai	22	3	2	13	1981	117411	114844	P
1532	謄	17	7	形声_Phonetic	1	Gon_Gonben	68	1	1	0	1981	266	266	
1533	藤	18	7	形声_Phonetic	1	Kusakanmuri	47	1	1	1	2010	254146	5993	S
1534	闘	18	7	形声_Phonetic	1	Mongamae	11	1	2	4	1981	44751	43820	S
1535	騰	20	7	形声_Phonetic	1	Uma_Umahen	11	1	2	0	1981	10096	10095	S
1536	同	6	2	会意_Com_Ideographic	4	Kuchi_Kuchihen	70	1	3	8	1981	833380	827991	R
1537	洞	9	7	形声_Phonetic	1	Mizu_Sanzui_Shitamizu	118	1	1	3	1981	5744	3357	S
1538	胴	10	7	形声_Phonetic	1	Niku_Nikuzuki	44	1	10	0	1981	2080	2080	R
1539	動	11	3	形声_Phonetic	4	Chikara	23	1	3	22	1981	420292	391265	P
1540	堂	11	4	形声_Phonetic	4	Tsuchi_Tsuchihen	50	1	8	0	1981	31216	18280	P
1541	童	12	3	形声_Phonetic	2	Tatsu	5	1	1	1	1981	29954	28504	S
1542	道	12	2	会意_Com_Ideographic	4	Shinnyoo	51	2	4	20	1981	330135	251485	P
1543	働	13	4	形声_Phonetic	3	Hito_Ninben_Hitoyane	104	1	10	10	1981	101399	82683	
1544	銅	14	5	形声_Phonetic	2	Kane_Kanehen	33	1	1	0	1981	10149	10064	R
1545	導	15	5	形声_Phonetic	2	Sun	12	1	1	4	1981	122562	122550	S
1546	瞳	17	7	形声_Phonetic	1	Me_Mehen	19	1	1	1	2010	2051	1409	
1547	峠	9	7	国字_Original	1	Yama_Yamahen	16	0	0	4	1981	1601	1046	
1548	匿	10	7	会意_Com_Ideographic	1	Kakushigamae	4	1	3	0	1981	5280	5280	
1549	特	10	4	形声_Phonetic	4	Ushi_Ushihen	6	1	1	0	1981	201736	200157	R
1550	得	11	4	会意_Com_Ideographic	3	Gyooninben	19	1	3	12	1981	222334	222136	S
1551	督	13	7	形声_Phonetic	1	Me_Mehen	19	1	4	0	1981	130554	130086	S
1552	徳	14	5	会意_Com_Ideographic	1	Gyooninben	19	1	5	0	1981	42750	10848	P
1553	篤	16	7	会意_Com_Ideographic	1	Take_Takekanmuri	24	1	5	0	1981	4476	798	R
1554	毒	8	4	象形_Pictographic	2	Haha_Hahanokan	3	1	9	0	1981	14910	14884	S
1555	独	9	5	形声_Phonetic	1	Inu_Kemonohen	17	1	1	2	1981	102357	85527	R
1556	読	14	2	形声_Phonetic	5	Gon_Gonben	68	3	1	6	1981	95555	92088	P
1557	栃	9	7	国字_Original	0	Ki_Kihen	85	0	0	1	2010	22600	2305	
1558	凸	5	7	象形_Pictographic	1	Ukebako	4	1	2	0	1981	770	491	
1559	突	8	7	会意_Com_Ideographic	3	Ana_Anakanmuri	10	1	2	16	1981	80719	80715	S
1560	届	8	6	会意_Com_Ideographic	2	Shikabane	15	0	0	9	1981	34402	34402	
1561	屯	4	7	象形_Pictographic	1	Tetsu	1	1	2	0	1981	1119	932	
1562	豚	11	7	会意_Com_Ideographic	1	Inoko	3	1	1	3	1981	5429	5429	S
1563	頓	13	7	形声_Phonetic	0	Oogai	22	1	3	0	2010	1835	1335	S
1564	貪	11	7	会意_Com_Ideographic	0	Kai_Kaihen	35	1	1	2	2010	330	330	
1565	鈍	12	7	形声_Phonetic	2	Kane_Kanehen	33	1	3	7	1981	4875	4639	R
1566	曇	16	7	形声_Phonetic	2	Nichi_Nichihen	38	1	5	5	1981	2475	1992	
1567	丼	5	7	象形_Pictographic	0	Ten	4	0	0	2	2010	2358	2358	
1568	那	7	7	形声_Phonetic	1	Oozato	12	1	1	0	2010	10783	1538	
1569	奈	8	7	形声_Phonetic	1	Dai	16	1	1	0	2010	67069	2060	
1570	内	4	2	象形_Pictographic	3	Hito_Ninben_Hitoyane	104	2	7	11	1981	577184	506360	R
1571	梨	11	7	形声_Phonetic	1	Ki_Kihen	85	0	0	2	2010	17318	2092	
1572	謎	17	7	形声_Phonetic	0	Gon_Gonben	68	0	0	5	2010	4515	4515	
1573	鍋	17	7	形声_Phonetic	0	Kane_Kanehen	33	0	0	3	2010	6753	4283	S
1574	南	9	2	象形_Pictographic	5	Juu	11	2	1	1	1981	129764	59544	R
1575	軟	11	7	形声_Phonetic	2	Kuruma_Kurumahen	15	1	1	1	1981	12578	12578	R
1576	難	18	6	会意_Com_Ideographic	3	Furutori	9	1	6	12	1981	127146	126351	S
1577	二	2	1	指事_Ideographic	5	Ni	6	1	2	1	1981	207617	155284	R
1578	尼	5	7	会意_Com_Ideographic	1	Shikabane	15	1	1	1	1981	3905	410	
1579	弐	6	7	形声_Phonetic	1	Shikigamae	2	1	2	0	1981	84	83	
1580	匂	4	7	国字_Original	0	Tsutsumigamae	3	0	0	5	2010	724	647	
1581	肉	6	2	象形_Pictographic	4	Niku_Nikuzuki	44	1	8	0	1981	40897	40877	S
1582	虹	9	7	形声_Phonetic	1	Mushi_Mushihen	10	0	0	1	2010	1946	1893	
1583	日	4	1	象形_Pictographic	5	Nichi_Nichihen	38	2	2	4	1981	2817613	1855755	S
1584	入	2	1	象形_Pictographic	5	Iru	1	1	5	30	1981	569966	562966	R
1585	乳	8	6	会意_Com_Ideographic	2	Otsu_Otsunyoo	7	1	3	3	1981	18871	17326	S
1586	尿	7	7	象形_Pictographic	1	Shikabane	15	1	1	0	1981	8379	8377	S
1587	任	6	5	形声_Phonetic	3	Hito_Ninben_Hitoyane	104	1	5	2	1981	216719	215095	P
1588	妊	7	7	形声_Phonetic	1	Onna_Onnahen	36	1	3	0	1981	9254	9254	S
1589	忍	7	7	形声_Phonetic	1	Kokoro_Risshinben_Shitagokoro	76	1	4	6	1981	4604	3648	S
1590	認	14	6	形声_Phonetic	3	Gon_Gonben	68	1	11	11	1981	241815	241630	S
1591	寧	14	7	会意_Com_Ideographic	1	Ukanmuri	36	1	1	0	1981	7265	4574	
1592	熱	15	4	会意_Com_Ideographic	3	Hi_Hihen_Renga	26	1	8	1	1981	52483	50849	S
1593	年	6	1	会意_Com_Ideographic	5	Ichijuu	5	1	2	3	1981	1812728	1811312	S
1594	念	8	4	形声_Phonetic	3	Kokoro_Risshinben_Shitagokoro	76	1	8	0	1981	125618	124612	P
1595	捻	11	7	形声_Phonetic	0	Tehen	89	1	3	0	2010	751	751	
1596	粘	11	7	形声_Phonetic	1	Kome_Komehen	10	1	4	4	1981	12184	12184	R
1597	燃	16	5	形声_Phonetic	2	Hi_Hihen_Renga	26	1	1	3	1981	32205	31449	S
1598	悩	10	7	形声_Phonetic	2	Kokoro_Risshinben_Shitagokoro	76	1	2	10	1981	21523	21523	
1599	納	10	6	形声_Phonetic	1	Ito_Itohen	63	5	16	23	1981	40403	37542	S
1600	能	10	5	象形_Pictographic	3	Niku_Nikuzuki	44	1	6	0	1981	212465	205862	P
1601	脳	11	6	会意_Com_Ideographic	2	Niku_Nikuzuki	44	1	2	0	1981	69715	69628	S
1602	農	13	3	会意_Com_Ideographic	2	Shinnotatsu	2	1	2	0	1981	92077	74854	R
1603	濃	16	7	形声_Phonetic	2	Mizu_Sanzui_Shitamizu	118	1	3	6	1981	21472	18310	R
1604	把	7	7	形声_Phonetic	1	Tehen	89	1	4	0	1981	10245	10245	
1605	波	8	3	形声_Phonetic	2	Mizu_Sanzui_Shitamizu	118	1	1	2	1981	56685	38273	S
1606	派	9	6	形声_Phonetic	1	Mizu_Sanzui_Shitamizu	118	1	6	0	1981	167524	167088	P
1607	破	10	5	形声_Phonetic	3	Ishi_Ishihen	16	1	11	20	1981	85597	82174	S
1608	覇	19	7	会意_Com_Ideographic	1	Nishi	4	1	6	0	1981	32973	28959	S
1609	馬	10	2	象形_Pictographic	3	Uma_Umahen	11	1	1	2	1981	131850	91370	P
1610	婆	11	7	形声_Phonetic	1	Onna_Onnahen	36	1	2	0	1981	703	699	P
1611	罵	15	7	形声_Phonetic	0	Amigashira	7	1	3	3	2010	382	382	S
1612	拝	8	6	会意_Com_Ideographic	2	Tehen	89	1	1	5	1981	17107	16985	S
1613	杯	8	7	形声_Phonetic	3	Ki_Kihen	85	1	5	4	1981	60302	20880	P
1614	背	9	6	形声_Phonetic	3	Niku_Nikuzuki	44	1	2	14	1981	56732	56627	R
1615	肺	9	6	形声_Phonetic	1	Niku_Nikuzuki	44	1	1	0	1981	12905	12905	S
1616	俳	10	6	形声_Phonetic	1	Hito_Ninben_Hitoyane	104	1	1	0	1981	20808	20297	R
1617	配	10	3	会意_Com_Ideographic	3	Tori_Torihen	14	1	4	4	1981	119991	119958	S
1618	排	11	7	形声_Phonetic	1	Tehen	89	1	8	0	1981	30280	30280	R
1619	敗	11	4	会意_Com_Ideographic	3	Nobun	16	1	2	1	1981	180635	180635	S
1620	廃	12	7	形声_Phonetic	1	Madare	17	1	3	5	1981	53869	53867	R
1621	輩	15	7	形声_Phonetic	1	Kuruma_Kurumahen	15	1	4	0	1981	11126	11126	P
1622	売	7	2	会意_Com_Ideographic	4	Samurai	5	1	1	10	1981	214276	210848	S
1623	倍	10	3	形声_Phonetic	2	Hito_Ninben_Hitoyane	104	1	4	0	1981	59170	36710	R
1624	梅	10	4	形声_Phonetic	1	Ki_Kihen	85	1	2	2	1981	17449	6575	S
1625	培	11	7	形声_Phonetic	1	Tsuchi_Tsuchihen	50	1	2	2	1981	8322	8321	
1626	陪	11	7	形声_Phonetic	1	Kozatohen	31	1	3	0	1981	1561	1561	
1627	媒	12	7	形声_Phonetic	1	Onna_Onnahen	36	1	1	0	1981	2509	2485	S
1628	買	12	2	会意_Com_Ideographic	4	Kai_Kaihen	35	1	1	5	1981	79473	79473	S
1629	賠	15	7	形声_Phonetic	1	Kai_Kaihen	35	1	1	0	1981	16980	16980	
1630	白	5	1	象形_Pictographic	5	Shiro	5	2	1	7	1981	129369	104138	R
1631	伯	7	7	形声_Phonetic	1	Hito_Ninben_Hitoyane	104	1	5	0	1981	7502	3625	S
1632	拍	8	7	形声_Phonetic	1	Tehen	89	2	1	0	1981	9328	9322	S
1633	泊	8	7	形声_Phonetic	2	Mizu_Sanzui_Shitamizu	118	1	1	4	1981	15276	14958	P
1634	迫	8	7	形声_Phonetic	1	Shinnyoo	51	1	9	9	1981	45504	43628	S
1635	剥	10	7	会意_Com_Ideographic	0	Katana_Rittoo	32	1	5	11	2010	348	348	R
1636	舶	11	7	形声_Phonetic	1	Fune_Funehen	8	1	1	0	1981	3063	3034	
1637	博	12	4	形声_Phonetic	1	Juu	11	2	9	0	1981	64841	29145	R
1638	薄	16	7	形声_Phonetic	2	Kusakanmuri	47	1	7	18	1981	21675	20855	R
1639	麦	7	2	会意_Com_Ideographic	2	Mugi	2	1	4	4	1981	5389	5155	S
1640	漠	13	7	形声_Phonetic	1	Mizu_Sanzui_Shitamizu	118	1	4	0	1981	3541	3111	S
1641	縛	16	7	形声_Phonetic	1	Ito_Itohen	63	1	2	9	1981	4189	4189	P
1642	爆	19	7	形声_Phonetic	2	Hi_Hihen_Renga	26	1	3	0	1981	68760	68736	S
1643	箱	15	3	形声_Phonetic	3	Take_Takekanmuri	24	0	0	6	1981	17765	13967	S
1644	箸	15	7	形声_Phonetic	0	Take_Takekanmuri	24	0	0	1	2010	959	955	
1645	畑	9	3	国字_Original	0	Ta_Tahen	19	0	0	5	1981	25999	7671	S
1646	肌	6	7	形声_Phonetic	2	Niku_Nikuzuki	44	0	0	5	1981	6826	6826	P
1647	八	2	1	指事_Ideographic	5	Hachi	8	1	1	1	1981	82792	57038	R
1648	鉢	13	7	形声_Phonetic	1	Kane_Kanehen	33	2	5	0	1981	3053	2839	S
1649	発	9	3	会意_Com_Ideographic	4	Hatsugashira	2	2	2	0	1981	721803	715124	S
1650	髪	14	7	形声_Phonetic	3	Kamigashira	1	1	1	1	1981	9931	9915	P
1651	伐	6	7	会意_Com_Ideographic	1	Hito_Ninben_Hitoyane	104	1	3	0	1981	2950	2948	S
1652	抜	7	7	形声_Phonetic	3	Tehen	89	1	12	27	1981	69134	69111	S
1653	罰	14	7	会意_Com_Ideographic	1	Amigashira	7	2	2	0	1981	17968	17968	S
1654	閥	14	7	形声_Phonetic	1	Mongamae	11	1	5	0	1981	11149	11149	P
1655	反	4	3	会意_Com_Ideographic	3	Mata	9	3	7	5	1981	225873	224230	R
1656	半	5	2	象形_Pictographic	5	Juu	11	1	5	5	1981	210130	199172	R
1657	氾	5	7	形声_Phonetic	0	Mizu_Sanzui_Shitamizu	118	1	2	0	2010	158	158	
1658	犯	5	5	形声_Phonetic	3	Inu_Kemonohen	17	1	3	10	1981	58025	58025	P
1659	帆	6	7	形声_Phonetic	1	Haba_Kinben	17	1	1	1	1981	2816	1202	S
1660	汎	6	7	形声_Phonetic	0	Mizu_Sanzui_Shitamizu	118	1	1	0	2010	767	425	
1661	伴	7	7	形声_Phonetic	1	Hito_Ninben_Hitoyane	104	2	4	4	1981	29893	29110	S
1662	判	7	5	形声_Phonetic	3	Katana_Rittoo	32	2	4	0	1981	296200	295627	S
1663	坂	7	3	形声_Phonetic	2	Tsuchi_Tsuchihen	50	1	3	3	1981	58672	4158	
1664	阪	7	7	形声_Phonetic	3	Kozatohen	31	1	1	0	2010	148172	233	
1665	板	8	3	形声_Phonetic	2	Ki_Kihen	85	2	6	6	1981	64411	57824	P
1666	版	8	5	形声_Phonetic	2	Katahen	2	1	6	0	1981	50072	48638	P
1667	班	10	6	会意_Com_Ideographic	1	Tama_Oo	15	1	7	0	1981	8584	8514	
1668	畔	10	7	形声_Phonetic	1	Ta_Tahen	19	1	2	0	1981	1374	993	
1669	般	10	7	会意_Com_Ideographic	2	Fune_Funehen	8	1	2	0	1981	43597	43438	P
1670	販	11	7	形声_Phonetic	2	Kai_Kaihen	35	1	2	0	1981	79713	78902	P
1671	斑	12	7	会意_Com_Ideographic	0	Bun	2	1	1	0	2010	1221	857	S
1672	飯	12	4	形声_Phonetic	4	Shoku_Shokuhen	12	1	3	4	1981	23512	6952	S
1673	搬	13	7	形声_Phonetic	1	Tehen	89	1	2	0	1981	7087	7079	S
1674	煩	13	7	会意_Com_Ideographic	1	Hi_Hihen_Renga	26	2	2	9	1981	868	868	R
1675	頒	13	7	形声_Phonetic	1	Oogai	22	1	4	0	1981	216	216	
1676	範	15	7	形声_Phonetic	1	Take_Takekanmuri	24	1	4	0	1981	19407	18358	S
1677	繁	16	7	会意_Com_Ideographic	1	Ito_Itohen	63	1	3	0	1981	14740	9411	R
1678	藩	18	7	形声_Phonetic	1	Kusakanmuri	47	1	2	0	1981	2486	2443	S
1679	晩	12	6	形声_Phonetic	3	Nichi_Nichihen	38	1	4	0	1981	7374	7266	S
1680	番	12	2	象形_Pictographic	3	Ta_Tahen	19	1	10	0	1981	166150	164990	S
1681	蛮	12	7	形声_Phonetic	1	Mushi_Mushihen	10	1	1	0	1981	707	703	S
1682	盤	15	7	形声_Phonetic	1	Sara	8	1	6	0	1981	42521	42017	P
1683	比	4	5	会意_Com_Ideographic	2	Kuraberu	1	1	4	3	1981	122659	113113	S
1684	皮	5	3	象形_Pictographic	2	Kegawa	1	1	11	11	1981	16635	16633	P
1685	妃	6	7	会意_Com_Ideographic	1	Onna_Onnahen	36	1	2	0	1981	2599	2079	
1686	否	7	6	会意_Com_Ideographic	3	Kuchi_Kuchihen	70	1	2	2	1981	68430	68430	P
1687	批	7	6	形声_Phonetic	1	Tehen	89	1	1	0	1981	69573	69561	
1688	彼	8	7	仮借_Loan	3	Gyooninben	19	1	2	3	1981	48150	48078	R
1689	披	8	7	形声_Phonetic	1	Tehen	89	1	1	0	1981	9342	9342	
1690	肥	8	5	会意_Com_Ideographic	1	Niku_Nikuzuki	44	1	2	10	1981	9128	6762	S
1691	非	8	5	象形_Pictographic	3	Arazu	1	1	7	0	1981	81808	81771	R
1692	卑	9	7	会意_Com_Ideographic	1	Juu	11	1	6	7	1981	1699	1314	R
1693	飛	9	4	象形_Pictographic	3	Tobu	1	1	2	12	1981	96706	94143	R
1694	疲	10	7	形声_Phonetic	3	Yamaidare	15	1	2	2	1981	14063	14063	
1695	秘	10	6	形声_Phonetic	1	Nogi_Nogihen	23	1	1	2	1981	37453	37453	R
1696	被	10	7	形声_Phonetic	2	Koromo_Koromohen	21	1	1	4	1981	158623	158336	R
1697	悲	12	3	形声_Phonetic	3	Kokoro_Risshinben_Shitagokoro	76	1	5	8	1981	25357	25321	R
1698	扉	12	7	形声_Phonetic	1	To_Tokanmuri	6	1	3	3	1981	3388	3388	
1699	費	12	4	形声_Phonetic	3	Kai_Kaihen	35	1	2	5	1981	149544	149544	P
1700	碑	14	7	形声_Phonetic	1	Ishi_Ishihen	16	1	2	0	1981	3882	3603	S
1701	罷	15	7	会意_Com_Ideographic	1	Amigashira	7	1	11	0	1981	1268	1268	
1702	避	16	7	形声_Phonetic	1	Shinnyoo	51	1	8	8	1981	49702	49702	S
1703	尾	7	7	象形_Pictographic	1	Shikabane	15	1	3	3	1981	61572	8768	S
1704	眉	9	7	象形_Pictographic	1	Me_Mehen	19	2	1	1	2010	538	471	S
1705	美	9	3	象形_Pictographic	3	Hitsuji	7	1	3	8	1981	150353	58671	R
1706	備	12	5	形声_Phonetic	3	Hito_Ninben_Hitoyane	104	1	5	15	1981	126682	124317	P
1707	微	13	7	形声_Phonetic	1	Gyooninben	19	1	4	0	1981	15137	15122	R
1708	鼻	14	3	形声_Phonetic	2	Hana	1	1	1	3	1981	6110	6008	R
1709	膝	15	7	形声_Phonetic	0	Niku_Nikuzuki	44	0	0	2	2010	430	421	S
1710	肘	7	7	形声_Phonetic	0	Niku_Nikuzuki	44	0	0	2	2010	87	80	
1711	匹	4	7	象形_Pictographic	2	Kakushigamae	4	1	3	3	1981	7370	7357	
1712	必	5	4	象形_Pictographic	3	Kokoro_Risshinben_Shitagokoro	76	1	1	3	1981	159382	159378	R
1713	泌	8	7	形声_Phonetic	1	Mizu_Sanzui_Shitamizu	118	2	4	0	1981	2027	1788	
1714	筆	12	3	会意_Com_Ideographic	2	Take_Takekanmuri	24	1	9	9	1981	25147	25031	P
1715	姫	10	7	会意_Com_Ideographic	1	Onna_Onnahen	36	0	0	4	1981	9289	4255	S
1716	百	6	1	指事_Ideographic	5	Shiro	5	1	3	0	1981	59480	50835	R
1717	氷	5	3	象形_Pictographic	2	Mizu_Sanzui_Shitamizu	118	1	3	3	1981	10116	8498	S
1718	表	8	3	会意_Com_Ideographic	3	Koromo_Koromohen	21	1	5	21	1981	629796	628434	S
1719	俵	10	5	形声_Phonetic	1	Hito_Ninben_Hitoyane	104	1	4	4	1981	7992	7473	
1720	票	11	4	会意_Com_Ideographic	1	Shimesu_Shimesuhen	15	1	4	0	1981	92903	92903	P
1721	評	12	5	形声_Phonetic	1	Gon_Gonben	68	1	2	0	1981	103038	102684	P
